symbol,timestamp,sentiment_score,sentiment_confidence,sentiment_source_count,sentiment_freshness,sentiment_stale_flag,sentiment_missing,sentiment_dispersion,sentiment_novelty
TATASTEEL.NS,2026-02-16 06:45:00+00:00,0.0,0.0,0,missing,True,True,0.0,0.0
TATASTEEL.NS,2026-02-16 07:45:00+00:00,0.0,0.0,0,missing,True,True,0.0,0.0
TATASTEEL.NS,2026-02-16 08:45:00+00:00,0.0,0.0,0,missing,True,True,0.0,0.0
TATASTEEL.NS,2026-02-16 09:45:00+00:00,0.0,0.0,0,missing,True,True,0.0,0.0
TATASTEEL.NS,2026-02-17 03:45:00+00:00,0.0,0.0,0,missing,True,True,0.0,0.0
TATASTEEL.NS,2026-02-17 04:45:00+00:00,0.0,0.0,0,missing,True,True,0.0,0.0
TATASTEEL.NS,2026-02-17 05:45:00+00:00,0.0,0.0,0,missing,True,True,0.0,0.0
TATASTEEL.NS,2026-02-17 06:45:00+00:00,0.0,0.0,0,missing,True,True,0.0,0.0
TATASTEEL.NS,2026-02-17 07:45:00+00:00,0.0,0.0,0,missing,True,True,0.0,0.0
TATASTEEL.NS,2026-02-17 08:45:00+00:00,0.0,0.0,0,missing,True,True,0.0,0.0
TATASTEEL.NS,2026-02-17 09:45:00+00:00,0.0,0.0,0,missing,True,True,0.0,0.0
TATASTEEL.NS,2026-02-18 03:45:00+00:00,0.0,0.0,0,missing,True,True,0.0,0.0
TATASTEEL.NS,2026-02-18 04:45:00+00:00,0.0,0.0,0,missing,True,True,0.0,0.0
TATASTEEL.NS,2026-02-18 05:45:00+00:00,0.0,0.0,0,missing,True,True,0.0,0.0
TATASTEEL.NS,2026-02-18 06:45:00+00:00,0.0,0.0,0,missing,True,True,0.0,0.0
TATASTEEL.NS,2026-02-18 07:45:00+00:00,0.0,0.0,0,missing,True,True,0.0,0.0
TATASTEEL.NS,2026-02-18 08:45:00+00:00,0.0,0.0,0,missing,True,True,0.0,0.0
